Name,Address,description,Website,long,lat
Jones Lake State Park,"4117 NC-242 N, Elizabethtown, NC 28337",State Park,https://www.ncparks.gov/state-parks/jones-lake-state-park,-78.5958905,34.6831766
Jordan Lake State Recreation Area,"280 State Park Rd, Apex, NC 27523",State Park,https://www.ncparks.gov/state-parks/jordan-lake-state-recreation-area,-79.0106798,35.7234262
Kerr Lake State Recreation Area,"6254 Satterwhite Point Rd, Henderson, NC 27537",State Park,https://www.ncparks.gov/state-parks/kerr-lake-state-recreation-area,-78.369113,36.4437201
Lake James State Park,"2229 Lake James State Park Rd, Nebo, NC 28761",State Park,https://www.ncparks.gov/state-parks/lake-james-state-park,-81.8759106,35.7547804
Lake Norman State Park,"759 State Park Rd, Troutman, NC 28166",State Park,https://www.ncparks.gov/state-parks/lake-norman-state-park,-80.9325884,35.6721273
Lake Waccamaw State Park,"1866 State Park Dr, Lake Waccamaw, NC 28450",State Park,https://www.ncparks.gov/state-parks/lake-waccamaw-state-park,-78.4657038,34.2786001
Lumber River State Park,"2819 Princess Ann Rd, Orrum, NC 28369",State Park,https://www.ncparks.gov/state-parks/lumber-river-state-park,-79.001024,34.388761
Mayo River State Park,"500 Old Mayo Park Rd, Mayodan, NC 27027",State Park,https://www.ncparks.gov/state-parks/mayo-river-state-park,-79.9489739,36.4398241
Medoc Mountain State Park,"1541 Medoc State Park Rd, Hollister, NC 27844",State Park,https://www.ncparks.gov/state-parks/medoc-mountain-state-park,-77.888387,36.2637399
Merchants Millpond State Park,"176 Mill Pond Rd, Gatesville, NC 27938",State Park,https://www.ncparks.gov/state-parks/merchants-millpond-state-park,-76.6991524,36.4372051
Morrow Mountain State Park,"49104 Morrow Mountain Rd, Albemarle, NC 28001",State Park,https://www.ncparks.gov/state-parks/morrow-mountain-state-park,-80.101062,35.3703453
Mount Jefferson State Natural Area,"1481 Mt Jefferson Rd, West Jefferson, NC 28694",State Park,https://www.ncparks.gov/state-parks/mount-jefferson-state-natural-area,-81.4702679,36.401727
Mount Mitchell State Park,"2388 NC-128, Burnsville, NC 28714",State Park,https://www.ncparks.gov/state-parks/mount-mitchell-state-park,-82.2633677,35.7728376
New River State Park,"358 New River State Park Rd, Laurel Springs, NC 28644",State Park,https://www.ncparks.gov/state-parks/new-river-state-park,-81.3417219,36.4651442
Occoneechee Mountain State Natural Area,"625 Virginia Cates Rd, Hillsborough, NC 27278",State Park,https://www.ncparks.gov/state-parks/occoneechee-mountain-state-natural-area,-79.1171084,36.0606205
Pettigrew State Park,"2252 Lake Shore Rd, Creswell, NC 27928",State Park,https://www.ncparks.gov/state-parks/pettigrew-state-park,-76.4210294,35.7960693
Pilot Mountain State Park,"1721 Pilot Knob Park Rd, Pinnacle, NC 27043",State Park,https://www.ncparks.gov/state-parks/pilot-mountain-state-park,-80.4775275,36.3411881
Raven Rock State Park,"3009 Raven Rock Rd, Lillington, NC 27546",State Park,https://www.ncparks.gov/state-parks/raven-rock-state-park,-78.9135741,35.4635101
Rendezvous Mountain,"1956 Rendezvous Mountain Road Purlear, NC 28665",State Park,https://www.ncparks.gov/state-parks/rendezvous-mountain,-81.2876691,36.2189417
Singletary Lake State Park,"6707 NC-53 E, Kelly, NC 28448",State Park,https://www.ncparks.gov/state-parks/singletary-lake-state-park,-78.449884,34.581262
South Mountains State Park,"Ê3001 S Mountain Park, Connelly Springs, NC 28612",State Park,https://www.ncparks.gov/state-parks/south-mountains-state-park,-81.683024,35.6115736
Stone Mountain State Park,"3042 Frank Pkwy, Roaring Gap, NC 28668",State Park,https://www.ncparks.gov/state-parks/stone-mountain-state-park,-81.0224605,36.3828761
Weymouth Woods - Sandhills Nature Preserve,"1024 N Fort Bragg Rd, Southern Pines, NC 28387",State Park,https://www.ncparks.gov/state-parks/weymouth-woods-sandhills-nature-preserve,-79.3689873,35.1471827
William B. Umstead State Park,"8801 Glenwood Ave, Raleigh, NC 27617",State Park,https://www.ncparks.gov/state-parks/william-b-umstead-state-park,-78.7518462,35.8894623
